YZP,Sandspit Airport,Sandspit,CA
YZR,Chris Hadfield Airport,Sarnia,CA
YXE,J.G. Diefenbaker Intl Airport,Saskatoon,CA
YAM,Sault Ste. Marie Airport,Sault Ste. Marie,CA
YZV,Sept-Iles Airport,Sept-Iles,CA
YYD,Smithers Airport,Smithers,CA
YYT,St John's International Airport,St John's,CA
YSB,Sudbury Airport,Sudbury,CA
YQY,J.A. Douglas McCurdy Airport,Sydney,CA
YXT,Northwest Regional Airport,Terrace,CA
YQT,Thunder Bay International Airport,Thunder Bay,CA
YTS,Victor M. Power Airport,Timmins,CA
YTZ,Billy Bishop City Airport,Toronto-Billy Bishop City,CA
YHM,Hamilton Airport,Toronto-Hamilton,CA
YYZ,Lester B. Pearson Intl Airport,Toronto-Lester B. Pearson,CA
YVO,Val d'Or Airport,Val d'Or,CA
YVR,Vancouver International Airport,Vancouver,CA
YYJ,Victoria International Airport,Victoria,CA
YWK,Wabush Airport,Wabush,CA
YXY,Erik Nielsen Intl Airport,Whitehorse,CA
YWL,Williams Lake Airport,Williams Lake,CA
YQG,Windsor Airport,Windsor,CA
YWG,J.A. Richardson Intl Airport,Winnipeg,CA
YZF,Yellowknife Airport,Yellowknife,CA
BVC,Rabil Airport,Boa Vista Island,CV
RAI,Francisco Mendes Int'l Airport,Praia,CV
SID,Amilcar Cabral International Airport,Sal Island,CV
VXE,Sao Pedro Airport,Sao Vicente Island,CV
GCM,Owen Roberts International Airport,Grand Cayman,KY
NDJ,Hassan Djamous Intl Airport,N'Djamena,TD
SCL,Arturo Merino Benitez Airport,Santiago,CL
AHJ,Aba Hongyuan Airport,Aba Tibetan,CN
AKU,Aksu Airport,Aksu,CN
BAV,Erliban Airport,Baotou,CN
RLK,Tianjitai Airport,Bayannur,CN
BHY,Fucheng Airport,Beihai,CN
PEK,Capital International Airport,Beijing,CN
CGQ,Longjia International Airport,Changchun,CN
CSX,Huanghua International Airport,Changsha,CN
CIH,Wangcun Airport,Changzhi,CN
CZX,Benniu Airport,Changzhou,CN
CHG,Chaoyang Airport,Chaoyang,CN
CTU,Shuangliu International,Chengdu,CN
CIF,Yulong Airport,Chifeng,CN
CKG,Jiangbei International Airport,Chongqing,CN
DLC,Zhoushuizi Intl Airport,Dalian,CN
DDG,Langtou Airport,Dandong,CN
DCY,Yading Airport,Daocheng,CN
DQA,Sartu Airport,Daqing,CN
DAT,Beijiazao Airport,Datong,CN
DAX,Heshi Airport,Dazhou,CN
DNH,Dunhuang Airport,Dunhuang,CN
FUG,Xiguan Airport,Fuyang,CN
FYJ,Fuyuan Airport,Fuyuan,CN
FOC,Changle International Airport,Fuzhou,CN
KOW,Huangjin Airport,Ganzhou,CN
GYS,Panlong Airport,Guangyuan,CN
CAN,Baiyun International Airport,Guangzhou,CN
KWL,Liangjiang International Airport,Guilin,CN
KWE,Longdongbao Intl Airport,Guiyang,CN
HAK,Meilan International Airport,Haikou,CN
HLD,Dongshan Airport,Hailar,CN
HMI,Hami Airport,Hami,CN
HGH,Xiaoshan Intl Airport,Hangzhou,CN
HRB,Taiping Intl Airport,Harbin,CN
HFE,Xinqiao International Airport,Hefei,CN
HET,Baita International Airport,Hohhot,CN
HTN,Hotan Airport,Hotan,CN
TXN,Tunxi International Airport,Huangshan,CN
JGS,Jinggangshan Airport,Ji'an,CN
JMU,Dongjiao Airport,Jiamusi,CN
TNA,Yaoqiang Intl Airport,Jinan,CN
JDZ,Jingdezhen Airport,Jingdezhen,CN
JZH,Jiuzhai Huanglong Airport,Jiuzhaigou,CN
KRY,Karamay Airport,Karamay,CN
KHG,Kashi Airport,Kashi,CN
KRL,Korla Airport,Korla,CN
KMG,Changshui International Airport,Kunming,CN
LHW,Zhongchuan Airport,Lanzhou,CN
LXA,Gonggar Airport,Lhasa/Lasa,CN
LJG,Sanyi Airport,Lijiang,CN
LYI,Shubuling Airport,Linyi,CN
LZH,Bailian Airport,Liuzhou,CN
LZO,Lantian Airport,Luzhou,CN
NZH,Xijiao Airport,Manzhouli,CN
MIG,Nanjiao Airport,Mianyang,CN
MDG,Hailang Airport,Mudanjiang,CN
KHN,Changbei International Airport,Nanchang,CN
NKG,Lukou International Airport,Nanjing,CN
NNG,Wuxu International Airport,Nanning,CN
NTG,Xingdong Airport,Nantong,CN
NGB,Lishe International Airport,Ningbo,CN
LZY,Mainling/Milin Airport,Nyingchi/Linzhi,CN
DSN,Ejin Horo Airport,Ordos,CN
PZI,Bao ' angong  Airport,Panzhihua,CN
BPX,Bamda/Bangda Airport,Qamdo/Changdu,CN
TAO,Liuting International Airport,Qingdao,CN
NDG,Sanjiazi Airport,Qiqihar,CN
JJN,Jinjiang Airport,Quanzhou,CN
JUZ,Quzhou Airport,Quzhou,CN
SYX,Phoenix International Airport,Sanya,CN
SHA,Hongqiao International Airport,Shanghai-Hongqiao,CN
PVG,Pudong International Airport,Shanghai-Pudong,CN
SWA,Jieyang Chaoshan Airport,Shantou,CN
SHE,Taoxian International Airport,Shenyang,CN
SZX,Bao'an International Airport,Shenzhen,CN
TYN,Wusu International Airport,Taiyuan,CN
HYN,Luqiao Airport,Taizhou,CN
TCZ,Tuofeng Airport,Tengchong,CN
TSN,Binhai International Airport,Tianjin,CN
TNH,Sanyuanpu Airport,Tonghua,CN
TGO,Tongliao Airport,Tongliao,CN
HLH,Ulanhot Airport,Ulanhot,CN
URC,Diwopu International Airport,Urumqi,CN
WXN,Wuqiao Airport,Wanzhou,CN
WEH,Dashuibo Airport,Weihai,CN
WNZ,Yongqiang Intl Airport,Wenzhou,CN
WUA,Wuhai Airport,Wuhai,CN
WUH,Tianhe Intl Airport,Wuhan,CN
WUX,Sunan Shuofang Airport,Wuxi,CN
XIY,Xianyang Intl Airport,Xi'an,CN
XMN,Gaoqi Intl Airport,Xiamen,CN
XFN,Liuji Airport,Xiangyang,CN
XIC,Qingshan Airport,Xichang,CN
XIL,Xilinhot Airport,Xilinhot,CN
XNN,Caojiabao Airport,Xining,CN
XUZ,Guanyin Airport,Xuzhou,CN
YNZ,Nanyang Airport,Yancheng,CN
YTY,Taizhou Airport,Yangzhou,CN
YNJ,Chaoyangchuan Airport,Yanji,CN
YNT,Laishan Intl Airport,Yantai,CN
YBP,Caiba Airport,Yibin,CN
YIH,Sanxia Airport,Yichang,CN
YIC,Mingyueshan Airport,Yichun (Jiangxi),CN
INC,Hedong Airport,Yinchuan,CN
YIN,Yining Airport,Yining,CN
YIW,Yiwu Airport,Yiwu,CN
UYN,Yuyang Airport,Yulin,CN
